time,gFx,gFy,gFz,wx,wy,wz
2026-07-01T12:03:56.435Z,-0.0060,-0.1085,-1.0071,0.0797,0.0928,0.0257
2026-07-01T12:03:56.440Z,0.0256,-0.1158,-0.9661,0.1207,-0.1746,0.0412
2026-07-01T12:03:56.450Z,0.0071,-0.1285,-0.9699,0.0248,-0.1115,0.0319
2026-07-01T12:03:56.460Z,-0.0028,-0.1385,-0.9792,-0.0746,-0.0072,0.0186
2026-07-01T12:03:56.470Z,-0.0093,-0.1388,-0.9918,-0.1335,0.0861,0.0064
2026-07-01T12:03:56.480Z,-0.0100,-0.1336,-1.0047,-0.1412,0.1578,0.0076
2026-07-01T12:03:56.490Z,-0.0059,-0.1236,-1.0166,-0.1023,0.1757,0.0056
2026-07-01T12:03:56.500Z,-0.0070,-0.1145,-1.0189,-0.0363,0.1244,0.0116
2026-07-01T12:03:56.509Z,-0.0092,-0.1100,-1.0158,0.0275,0.0434,0.0148
2026-07-01T12:03:56.520Z,-0.0020,-0.1113,-1.0119,0.0746,-0.0281,0.0180
2026-07-01T12:03:56.530Z,0.0011,-0.1178,-1.0064,0.0974,-0.0770,0.0134
2026-07-01T12:03:56.540Z,0.0071,-0.1234,-0.9919,0.0947,-0.0904,0.0249
2026-07-01T12:03:56.550Z,0.0089,-0.1277,-0.9843,0.0702,-0.0854,0.0311
2026-07-01T12:03:56.560Z,0.0055,-0.1225,-0.9860,0.0330,-0.0793,0.0214
2026-07-01T12:03:56.570Z,0.0002,-0.1179,-0.9870,0.0028,-0.0640,0.0177
2026-07-01T12:03:56.580Z,-0.0015,-0.1201,-0.9924,-0.0069,-0.0331,0.0126
2026-07-01T12:03:56.590Z,-0.0015,-0.1201,-0.9924,0.0089,-0.0014,0.0044
2026-07-01T12:03:56.600Z,-0.0129,-0.1184,-0.9976,0.0358,0.0047,0.0123
2026-07-01T12:03:56.610Z,-0.0067,-0.1183,-0.9997,0.0574,-0.0188,0.0312
2026-07-01T12:03:56.623Z,0.0020,-0.1205,-0.9980,0.0712,-0.0447,0.0459
2026-07-01T12:03:56.630Z,0.0020,-0.1205,-0.9980,0.0768,-0.0617,0.0512
2026-07-01T12:03:56.640Z,0.0026,-0.1247,-0.9951,0.0745,-0.0518,0.0606
2026-07-01T12:03:56.651Z,0.0031,-0.1404,-0.9901,0.0614,-0.0337,0.0704
2026-07-01T12:03:56.660Z,0.0050,-0.1444,-0.9905,0.0433,-0.0100,0.0785
2026-07-01T12:03:56.670Z,0.0050,-0.1444,-0.9905,0.0290,0.0097,0.0704
2026-07-01T12:03:56.681Z,-0.0037,-0.1318,-0.9884,0.0115,0.0282,0.0519
2026-07-01T12:03:56.689Z,-0.0037,-0.1318,-0.9884,-0.0044,0.0302,0.0362
2026-07-01T12:03:56.700Z,-0.0089,-0.1237,-0.9906,-0.0212,0.0182,0.0127
2026-07-01T12:03:56.711Z,-0.0098,-0.1176,-0.9881,-0.0374,0.0036,0.0048
2026-07-01T12:03:56.723Z,-0.0070,-0.1156,-0.9861,-0.0488,-0.0013,0.0032
2026-07-01T12:03:56.731Z,-0.0070,-0.1156,-0.9861,-0.0459,0.0084,0.0049
2026-07-01T12:03:56.741Z,-0.0105,-0.1241,-0.9920,-0.0288,0.0340,0.0090
2026-07-01T12:03:56.751Z,-0.0048,-0.1261,-0.9944,-0.0288,0.0340,0.0090
2026-07-01T12:03:56.759Z,-0.0048,-0.1261,-0.9944,-0.0064,0.0396,0.0289
2026-07-01T12:03:56.774Z,0.0037,-0.1236,-0.9986,0.0326,0.0191,0.0733
2026-07-01T12:03:56.780Z,0.0037,-0.1236,-0.9986,0.0636,0.0284,0.0759
2026-07-01T12:03:56.791Z,-0.0132,-0.1209,-0.9963,0.0839,0.0308,0.0575
2026-07-01T12:03:56.801Z,-0.0172,-0.1155,-0.9915,0.0839,0.0308,0.0575
2026-07-01T12:03:56.812Z,-0.0148,-0.1203,-0.9913,0.0800,0.0095,0.0253
2026-07-01T12:03:56.822Z,-0.0148,-0.1203,-0.9913,0.0604,0.0001,0.0076
2026-07-01T12:03:56.832Z,-0.0106,-0.1261,-0.9945,0.0269,-0.0018,-0.0088
2026-07-01T12:03:56.840Z,-0.0076,-0.1267,-0.9879,-0.0013,0.0111,-0.0330
